iter	Passed	Remaining
0	0	532
1	1	468
2	1	447
3	2	421
4	2	416
5	3	398
6	3	389
7	4	379
8	4	380
9	4	375
10	5	374
11	5	372
12	6	371
13	6	369
14	7	372
15	7	370
16	8	365
17	8	362
18	9	360
19	9	359
20	10	360
21	10	359
22	11	357
23	11	355
24	12	354
25	12	351
26	13	358
27	13	359
28	14	356
29	14	354
30	15	355
31	15	352
32	15	350
33	16	348
34	16	347
35	17	345
36	17	343
37	17	342
38	18	340
39	18	339
40	19	339
41	19	337
42	20	338
43	20	336
44	21	335
45	21	333
46	21	332
47	22	330
48	22	329
49	23	327
50	23	326
51	23	325
52	24	324
53	24	323
54	25	326
55	25	325
56	26	324
57	26	323
58	27	322
59	27	320
60	27	320
61	28	319
62	28	319
63	29	320
64	29	320
65	30	321
66	31	321
67	31	321
68	32	322
69	32	323
70	33	322
71	33	321
72	34	320
73	34	319
74	34	318
75	35	319
76	35	319
77	36	319
78	36	318
79	37	317
80	37	317
81	38	316
82	38	316
83	39	315
84	39	314
85	39	313
86	40	313
87	40	312
88	41	311
89	41	310
90	42	310
91	42	309
92	43	309
93	43	308
94	44	308
95	44	308
96	44	307
97	45	307
98	45	306
99	46	306
100	46	306
101	47	305
102	47	304
103	48	304
104	48	303
105	49	302
106	49	301
107	49	301
108	50	301
109	50	301
110	51	300
111	51	299
112	52	298
113	52	298
114	52	297
115	53	296
116	53	295
117	54	295
118	54	294
119	55	294
120	55	294
121	56	293
122	56	293
123	56	292
124	57	292
125	57	291
126	58	290
127	58	290
128	59	289
129	59	288
130	59	288
131	60	288
132	60	287
133	61	287
134	61	286
135	62	285
136	62	285
137	63	284
138	63	283
139	63	283
140	64	282
141	64	281
142	65	281
143	65	280
144	65	280
145	66	280
146	66	279
147	67	278
148	67	278
149	68	278
150	69	279
151	69	278
152	69	278
153	70	277
154	70	277
155	71	276
156	71	276
157	72	275
158	72	274
159	73	274
160	73	273
161	73	273
162	74	272
163	74	272
164	75	271
165	75	270
166	76	270
167	76	270
168	76	269
169	77	268
170	77	268
171	78	267
172	78	267
173	79	266
174	79	266
175	79	265
176	80	265
177	80	264
178	81	264
179	81	263
180	82	262
181	82	262
182	82	261
183	83	261
184	83	260
185	84	260
186	84	259
187	84	258
188	85	258
189	85	257
190	86	257
191	86	256
192	87	256
193	87	255
194	87	255
195	88	254
196	88	254
197	89	253
198	89	252
199	89	252
200	90	251
201	90	251
202	91	250
203	91	250
204	92	250
205	92	249
206	93	249
207	93	248
208	93	248
209	94	247
210	94	246
211	95	246
212	95	245
213	96	245
214	96	245
215	96	244
216	97	244
217	97	243
218	98	243
219	98	242
220	99	242
221	99	241
222	100	241
223	100	240
224	100	240
225	101	240
226	101	239
227	102	239
228	102	238
229	103	238
230	103	238
231	104	237
232	104	237
233	105	236
234	105	236
235	105	235
236	106	235
237	106	234
238	107	234
239	107	234
240	108	233
241	108	233
242	109	233
243	109	232
244	110	232
245	110	231
246	111	231
247	111	231
248	112	231
249	112	230
250	113	230
251	114	230
252	114	230
253	115	229
254	115	229
255	116	228
256	116	228
257	117	228
258	117	227
259	117	227
260	118	226
261	118	226
262	119	226
263	119	225
264	120	225
265	120	224
266	121	224
267	121	223
268	122	223
269	122	223
270	123	222
271	123	222
272	124	221
273	124	222
274	126	223
275	127	223
276	128	225
277	141	245
278	144	250
279	145	250
280	147	251
281	148	251
282	148	251
283	150	252
284	151	252
285	151	252
286	152	251
287	152	251
288	153	250
289	154	250
290	154	249
291	155	249
292	156	249
293	157	250
294	158	250
295	159	250
296	160	250
297	160	250
298	161	249
299	162	249
300	162	248
301	163	248
302	163	247
303	164	246
304	164	246
305	165	246
306	166	245
307	166	245
308	167	244
309	167	244
310	168	244
311	169	243
312	169	243
313	170	242
314	171	242
315	171	241
316	172	241
317	172	240
318	173	240
319	173	239
320	174	239
321	174	238
322	175	237
323	175	237
324	176	236
325	177	236
